Date,Open,High,Low,Close,Adj Close,Volume
6/4/2012,16.985001,17.004999,16.08,16.18,14.550049,1725800
6/5/2012,16.219999,16.42,16.094999,16.315001,14.67145,1301000
6/6/2012,16.434999,16.745001,16.334999,16.735001,15.049143,1215200
6/7/2012,16.915001,17.075001,16.725,16.9,15.197513,1903800
6/8/2012,17.145,17.5,17.014999,17.365,15.615671,1806400
6/11/2012,17.5,17.83,17.23,17.285,15.543733,2258200
6/12/2012,17.325001,17.629999,17.209999,17.360001,15.611176,1366400
6/13/2012,17.4,17.73,17.27,17.5,15.737071,1441400
6/14/2012,17.76,17.795,17.459999,17.605,15.831496,2099000
6/15/2012,17.67,17.68,17.264999,17.290001,15.548229,2013800
6/18/2012,17.18,17.684999,17.120001,17.625,15.849482,1876000
6/19/2012,17.719999,17.950001,17.52,17.879999,16.078794,1361400
6/20/2012,17.905001,18.165001,17.700001,18.049999,16.231667,1635200
6/21/2012,18.125,18.25,17.959999,17.99,16.177713,2377400
6/22/2012,18.18,18.205,18.049999,18.065001,16.245153,6309600
6/25/2012,17.93,18.004999,17.49,17.639999,15.86297,1250000
6/26/2012,17.639999,17.93,17.59,17.855,16.056309,1298000
6/27/2012,17.955,18.195,17.790001,18.120001,16.294621,1525400
6/28/2012,18,18.110001,17.665001,18,16.186703,1388200
6/29/2012,18.235001,18.235001,17.825001,17.950001,16.141745,1690800
7/2/2012,18.059999,18.27,17.92,18.215,16.380049,1593400
7/3/2012,18.25,18.389999,18.02,18.375,16.523928,1257600
7/5/2012,18.395,18.82,18.305,18.809999,16.915106,2833000
7/6/2012,18.635,19.23,18.635,18.98,17.067978,2238000
7/9/2012,18.83,18.83,17.85,18.07,16.249651,3523400
7/10/2012,18.02,18.190001,17.594999,17.85,16.051817,2186800
7/11/2012,17.924999,18.365,17.844999,18.299999,16.456482,3017200
7/12/2012,18.139999,18.434999,17.955,18.23,16.393532,1811400
7/13/2012,18.309999,18.575001,18.309999,18.48,16.618349,1412600
7/16/2012,18.495001,18.815001,18.389999,18.629999,16.753239,1123000
7/17/2012,18.745001,18.785,18.365,18.615,16.73975,1109200
7/18/2012,18.620001,19.02,18.575001,18.674999,16.793703,1881200
7/19/2012,18.754999,18.92,18.245001,18.245001,16.407022,2450000
7/20/2012,18.200001,18.25,17.875,17.91,16.105774,1930200
7/23/2012,17.719999,17.870001,17.389999,17.780001,15.988862,1727400
7/24/2012,17.83,17.85,17.105,17.344999,15.597687,1639000
7/25/2012,17.450001,17.525,17.105,17.225,15.489772,2060000
7/26/2012,17.51,17.645,17,17.309999,15.566216,1569000
7/27/2012,17.285,17.67,17.025,17.540001,15.773042,1138400
7/30/2012,17.49,17.77,17.280001,17.469999,15.710093,1926800
7/31/2012,17.48,17.555,17.370001,17.424999,15.669629,1600400
8/1/2012,17.530001,17.575001,16.959999,16.985001,15.273952,1608200
8/2/2012,16.85,17.17,16.77,16.889999,15.188524,1589200
8/3/2012,17.035,17.309999,17.02,17.215,15.480784,1046800
8/6/2012,17.25,17.51,17.25,17.424999,15.669629,1505200
8/7/2012,17.455,17.555,17.315001,17.415001,15.660637,2568800
8/8/2012,17.315001,17.540001,17.200001,17.290001,15.548229,2738800
8/9/2012,17.205,17.33,17.105,17.155001,15.426828,1667800
8/10/2012,17.155001,17.375,16.905001,17.09,15.368381,1060800
8/13/2012,17.02,17.16,16.855,17.049999,15.332404,1048200
8/14/2012,17.115,17.205,16.93,16.985001,15.273952,955800
8/15/2012,17,17.155001,16.945,17.055,15.336905,1151400
8/16/2012,17.075001,17.145,16.915001,17.094999,15.372871,891400
8/17/2012,17.045,17.105,16.905001,17.09,15.368381,1004200
8/20/2012,17.1,17.52,17.049999,17.385,15.633659,1155200
8/21/2012,17.389999,17.790001,17.360001,17.41,15.656139,1184800
8/22/2012,17.365,17.4,17.094999,17.235001,15.498766,899800
8/23/2012,17.190001,17.299999,16.945,17.02,15.305429,1016800
8/24/2012,16.950001,17.17,16.9,17.035,15.318917,597600
8/27/2012,17.200001,17.254999,16.91,16.955,15.246978,1014400
8/28/2012,16.895,16.969999,16.690001,16.790001,15.098598,1200600
8/29/2012,16.77,16.844999,16.545,16.75,15.062628,882200
8/30/2012,16.719999,16.870001,16.605,16.775,15.085108,563600
8/31/2012,16.885,17.02,16.725,16.775,15.085108,611400
9/4/2012,16.715,16.809999,16.344999,16.745001,15.058134,1154400
9/5/2012,16.68,17.129999,16.66,16.915001,15.211004,1495800
9/6/2012,16.940001,17.360001,16.915001,17.18,15.449312,1064400
9/7/2012,17.264999,17.440001,17.115,17.395,15.642652,875600
9/10/2012,17.424999,17.74,17.325001,17.41,15.656139,1123400
9/11/2012,17.325001,17.450001,17.17,17.23,15.494269,1071800
9/12/2012,17.219999,17.42,17.219999,17.360001,15.611176,877600
9/13/2012,17.334999,17.525,17.17,17.434999,15.678621,769200
9/14/2012,17.434999,17.434999,17,17.290001,15.548229,1897200
9/17/2012,17.25,17.315001,17.075001,17.209999,15.476286,1129800
9/18/2012,17.145,17.24,16.885,17.040001,15.323412,1266200
9/19/2012,17.16,17.385,17.094999,17.254999,15.516753,1345000
9/20/2012,17.135,17.26,17,17.059999,15.3414,872000
9/21/2012,17.174999,17.23,16.790001,16.860001,15.161547,1369600
9/24/2012,16.764999,16.959999,16.385,16.815001,15.121079,1702800
9/25/2012,16.860001,17.049999,16.67,16.834999,15.139064,2041400
